frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf
20,171.32895,419.66156,0.0,1.0,157.45319,400.69974,0.0,1.0,170.01463,411.71396,0.0,1.0,182.03108,362.95682,0.0,1.0,194.96628,386.89291,0.0,1.0,287.41766,384.25165,0.0,1.0,286.96536,384.26462,0.0,1.0,402.99631,506.92728,0.0,1.0,342.41302,444.26401,0.0,1.0,327.88766,612.0,0.0,1.0,249.14497,557.24365,0.0,1.0,610.11334,320.88892,0.0,1.0,614.35443,344.97165,0.0,1.0,825.88837,408.67325,0.0,1.0,837.09387,415.75922,0.0,1.0,1063.03748,410.3989,0.0,1.0,1023.23999,392.12396,0.0,1.0
21,156.05833,432.90378,0.0,1.0,144.75792,415.39734,0.0,1.0,155.41078,428.0163,0.0,1.0,178.52733,375.01181,0.0,1.0,184.72438,402.12848,0.0,1.0,283.84119,375.47858,0.0,1.0,291.53589,383.7756,0.0,1.0,393.29547,507.35629,0.0,1.0,356.06769,464.3801,0.0,1.0,320.79248,602.35565,0.0,1.0,260.49536,563.53369,0.0,1.0,603.7345,317.80338,0.0,1.0,603.99664,343.50327,0.0,1.0,809.29871,414.81241,0.0,1.0,805.37305,427.30081,0.0,1.0,1040.91516,430.54486,0.0,1.0,970.94287,418.24646,0.0,1.0
22,156.72166,432.87341,0.0,1.0,145.40976,415.58527,0.0,1.0,156.25815,428.09952,0.0,1.0,179.00732,375.47421,0.0,1.0,185.69426,402.298,0.0,1.0,283.67023,375.27328,0.0,1.0,292.11185,383.38028,0.0,1.0,393.18945,507.1124,0.0,1.0,356.72342,464.10812,0.0,1.0,320.39365,603.20599,0.0,1.0,261.25903,563.62927,0.0,1.0,602.6228,317.45016,0.0,1.0,603.24231,343.08237,0.0,1.0,808.9798,414.6442,0.0,1.0,805.02026,427.13507,0.0,1.0,1040.72974,431.18231,0.0,1.0,970.92969,418.99606,0.0,1.0
23,148.43396,449.15991,0.0,1.0,132.24515,428.69702,0.0,1.0,140.56187,447.48102,0.0,1.0,160.50096,385.64578,0.0,1.0,161.18036,429.0257,0.0,1.0,277.29297,391.06085,0.0,1.0,271.78934,412.237,0.0,1.0,398.27567,496.58432,0.0,1.0,334.73581,455.58972,0.0,1.0,309.93558,600.49243,0.0,1.0,240.66495,530.55066,0.0,1.0,591.04846,337.5452,0.0,1.0,587.26007,368.03134,0.0,1.0,797.80048,432.68939,0.0,1.0,812.61035,449.74976,0.0,1.0,1017.29474,439.87494,0.0,1.0,971.72296,424.06253,0.0,1.0
24,146.23799,452.28827,0.0,1.0,130.56772,432.35681,0.0,1.0,137.34734,450.98508,0.0,1.0,154.39775,389.22275,0.0,1.0,150.59665,432.95438,0.0,1.0,267.81461,393.15405,0.0,1.0,247.72427,428.02902,0.0,1.0,388.40881,486.92249,0.0,1.0,314.54147,484.19568,0.0,1.0,304.86703,590.71954,0.0,1.0,235.54832,560.08154,0.0,1.0,574.06647,356.87491,0.0,1.0,561.4364,394.24628,0.0,1.0,791.62592,426.23294,0.0,1.0,800.94073,449.47379,0.0,1.0,1000.70996,440.85153,0.0,1.0,966.2373,428.34555,0.0,1.0
25,155.65324,460.85165,0.0,1.0,135.27161,438.04175,0.0,1.0,147.87698,457.51138,0.0,1.0,150.28796,391.24918,0.0,1.0,164.03636,437.66217,0.0,1.0,258.60553,416.97766,0.0,1.0,255.12535,447.53732,0.0,1.0,374.99368,486.80005,0.0,1.0,327.22861,472.39352,0.0,1.0,294.42593,593.57855,0.0,1.0,265.95099,536.58923,0.0,1.0,551.2597,376.68607,0.0,1.0,556.26929,412.25748,0.0,1.0,781.13733,432.28119,0.0,1.0,812.54974,449.60709,0.0,1.0,1000.86786,447.14447,0.0,1.0,972.40204,425.56851,0.0,1.0
26,155.34044,461.29102,0.0,1.0,134.97011,438.51346,0.0,1.0,147.51093,458.13144,0.0,1.0,150.62106,391.41748,0.0,1.0,164.19627,438.19897,0.0,1.0,259.81787,416.14709,0.0,1.0,256.12247,447.10263,0.0,1.0,375.93457,487.29169,0.0,1.0,328.20526,473.46341,0.0,1.0,294.58286,595.0672,0.0,1.0,265.88776,539.41821,0.0,1.0,553.00226,376.80838,0.0,1.0,557.55865,412.49728,0.0,1.0,782.55328,433.51065,0.0,1.0,813.83142,451.58954,0.0,1.0,1000.4632,447.15897,0.0,1.0,971.89978,426.47711,0.0,1.0
27,168.76141,467.95883,0.0,1.0,145.84105,444.23419,0.0,1.0,159.30475,464.38431,0.0,1.0,155.19652,395.24622,0.0,1.0,171.61531,443.72119,0.0,1.0,263.55862,423.14658,0.0,1.0,255.85402,453.94681,0.0,1.0,375.88364,495.28937,0.0,1.0,330.71466,481.67575,0.0,1.0,298.45865,605.19183,0.0,1.0,308.04318,555.2478,0.0,1.0,557.69873,389.8811,0.0,1.0,561.14905,427.90918,0.0,1.0,795.02209,436.39996,0.0,1.0,828.30408,458.30344,0.0,1.0,1010.03638,444.42194,0.0,1.0,984.14752,425.94528,0.0,1.0
28,169.02531,476.40485,0.0,1.0,145.09503,451.89703,0.0,1.0,154.18753,475.14514,0.0,1.0,154.01782,404.0416,0.0,1.0,158.85956,460.30368,0.0,1.0,265.01465,429.185,0.0,1.0,249.31946,464.04666,0.0,1.0,370.08954,495.08313,0.0,1.0,327.68265,482.45276,0.0,1.0,288.34445,610.08661,0.0,1.0,315.77762,562.03491,0.0,1.0,568.32471,392.33917,0.0,1.0,564.10815,432.5874,0.0,1.0,802.93176,443.71869,0.0,1.0,834.29999,468.36017,0.0,1.0,1016.4057,445.71979,0.0,1.0,986.93365,424.04703,0.0,1.0
29,168.86258,478.03702,0.0,1.0,144.57535,452.82584,0.0,1.0,152.48653,477.08853,0.0,1.0,151.23615,405.42719,0.0,1.0,152.6884,464.04352,0.0,1.0,259.99762,432.39191,0.0,1.0,240.36552,468.4454,0.0,1.0,362.22455,493.22601,0.0,1.0,322.80222,478.92792,0.0,1.0,286.70773,603.84271,0.0,1.0,337.91946,534.54681,0.0,1.0,559.70502,395.99841,0.0,1.0,553.48218,437.29877,0.0,1.0,791.04712,440.10648,0.0,1.0,825.20844,465.13226,0.0,1.0,1005.4364,446.94537,0.0,1.0,980.87726,421.92627,0.0,1.0
30,170.50601,479.17938,0.0,1.0,145.37474,454.22021,0.0,1.0,152.70825,479.4375,0.0,1.0,151.11496,408.27737,0.0,1.0,150.9836,469.07434,0.0,1.0,258.83789,434.73404,0.0,1.0,240.03418,468.85031,0.0,1.0,359.15137,494.05768,0.0,1.0,325.73303,467.07037,0.0,1.0,283.45163,609.58997,0.0,1.0,359.271,494.19495,0.0,1.0,557.78632,396.63629,0.0,1.0,551.55267,437.67621,0.0,1.0,792.26959,442.88135,0.0,1.0,827.66412,468.89227,0.0,1.0,1005.08514,447.40204,0.0,1.0,982.18799,422.29318,0.0,1.0
